default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.233,-0.110,-0.439,-0.613,-0.826,-0.827,-1.115,-1.116,-1.117,-1.118,-1.119
0.100,-0.270,-1.050,-1.052,-1.053,-1.114,-1.115,-1.116,-1.117,-1.118,-1.119,-1.120
0.200,-0.838,-1.387,-1.608,-1.770,-2.225,-2.226,-2.227,-2.228,-2.231,-2.232,-2.233
0.300,-1.473,-1.963,-2.230,-2.376,-2.695,-2.696,-2.697,-2.698,-2.699,-2.700,-2.701
0.400,-1.959,-2.496,-2.665,-2.856,-3.034,-3.035,-3.036,-3.037,-3.038,-3.039,-3.040
0.500,-2.181,-2.870,-3.015,-3.139,-3.300,-3.301,-3.302,-3.303,-3.304,-3.305,-3.306
0.600,-2.182,-2.871,-3.016,-3.140,-3.301,-3.302,-3.303,-3.304,-3.305,-3.306,-3.307
0.700,-2.183,-2.872,-3.017,-3.141,-3.302,-3.303,-3.304,-3.305,-3.306,-3.307,-3.308
0.800,-2.201,-2.873,-3.018,-3.142,-3.303,-3.304,-3.305,-3.306,-3.307,-3.308,-3.309
